#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
MOVEMENT_SPEED;velocidade de movimento;Vitesse de déplacement;Bewegungsgeschwindigkeit;;Velocidad de movimiento;;;;;;;;;x
EXPERIMENTALITY;Experimentação;Imprévisibilité;Unberechenbarkeit;;Imprevisibilidad;;;;;;;;;x
CU_LIGHT_INFANTRY;Forças de Fogo Luminoso;Infanterie légère;Leichte Infanterie;;Infantería ligera;;;;;;;;;x
CU_HEAVY_INFANTRY;Forças pesadas de pé;Infanterie lourde;Schwere Infanterie;;Infantería pesada;;;;;;;;;x
CU_CAVALRY;As tropas montadas;Cavalerie;Kavallerie;;Caballería;;;;;;;;;x
MORALE_DEFENCE;Defesa Moral;Maintien du moral;Verteidigungsmoral;;Moral defensa;;;;;;;;;x
DAMAGE;danos;Dégâts;Schaden;;Daño ue;;;;;;;;;x
PURSUIT;perseguição;Poursuite;Verfolgung;;Persecución;;;;;;;;;x
RETREAT;Retiro;Retraite;Rückzug;;Retirada;;;;;;;;;x
MARTIAL_INFLUENCE;Influência Martial;Influence martiale;Einfluss der Kriegskunst;;Influencia marcial;;;;;;;;;x
FLANKING;Flanqueamento;Attaque sur le flanc;Flankenangriff;;Flanqueo;;;;;;;;;x
CENTER;Liderando o Centro;Mène le centre;Führung im Zentrum;;Dirigiendo el centro;;;;;;;;;x
DEFENCE;Defesa;Défense;Verteidigung;;Defensa;;;;;;;;;x
CANNOT_PLAY_MUSLIM_WITHOUT_DLC;Você não pode jogar muçulmanos sem a Espada do Islã;Vous ne pouvez jouer un seigneur musulman sans le DLC 'Sword of Islam';Das Spielen als Muslim ist ohne das DLC §YSword of Islam§! nicht möglich;;No puedes jugar como musulmán sin el DLC The Sword of Islam;;;;;;;;;x
NOT_ALLOWED_MUSLIM;Não é permitido jogar §YMuslim§! sem The Sword of Islam DLC!;N'est pas autorisé à jouer §Yun seigneur musulman§! sans le DLC 'Sword of Islam';Spielen als §YMuslim§! ist ohne das DLC §YSword of Islam§! nicht erlaubt!;;¡No se te permite jugar como §Ymusulmán§! sin el DLC The Sword of Islam!;;;;;;;;;x
NOT_ALLOWED_MUSLIM_MP;§Y$PLAYER$§! não é permitido jogar §YMuslim§! sem The Sword of Islam DLC;Il n'est pas permis à §Y$PLAYER$§! de jouer §Yun seigneur musulman§! sans le DLC 'Sword of Islam';§Y$PLAYER$§! ist nicht erlaubt als §YMuslim§! ohne das DLC §YSword of Islam§! zu spielen;;§Y$PLAYER$§! no puede jugar como §Ymusulmán§! sin el DLC The Sword of Islam!;;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_MUSLIM_DLC;Os muçulmanos não são jogáveis sem a Espada do Islã;Les musulmans ne sont pas jouables sans le DLC 'Sword of Islam';Muslime sind ohne das DLC §YSword of Islam§! nicht spielbar;;No se puede jugar con musulmanes sin el DLC The Sword of Islam;;;;;;;;;x
MUST_SELECT_PLAYER;Você tem que escolher um personagem para jogar!;Vous devez sélectionner un personnage pour jouer;Sie müssen einen Charakter auswählen um zu spielen!;;¡Debes elegir un personaje para jugar!;;;;;;;;;x
